"from","to","weight"
"Adm","Calcrl",0.904619757536136
"Adm","Ramp1",0.771575398642373
"Adm","Ramp2",1.01437914594811
"Adm","Ramp3",0.913510815771358
"Lama2","Dag1",1.13758264982166
"Lama2","Itga1",0.516070952617506
"Lama2","Itga6",0.800827553656451
"Lama2","Itga7",0.750291986483123
"Lama2","Itga9",0.543348421342934
"Lama2","Itgb1",0.666722292616309
"Lama2","Rpsa",0.383700402695029
"Mmrn2","Cd248",0.479417757957863
"Mmrn2","Cd93",0.419266094409565
"Mmrn2","Clec14a",0.485487868041378
"Nrxn1","Dag1",0.745594977533132
"Nrxn1","Nlgn2",1.23905515712619
"Pdgfc","Flt1",0.544342526553487
"Pdgfc","Flt4",0.629235736349176
"Pdgfc","Kdr",0.714050272176072
"Pdgfc","Pdgfrb",1.06700987366867
"Ptprm","Ptprm",0.160637891106009
"Robo1","Ncam1",0.339272461077868
"Sema3f","Nrp1",0.701102077695796
"Sema3f","Nrp2",0.756810809955973
"Sema3f","Plxna1",0.385387679331364
"Sema3f","Plxna2",0.113434414732379
"Sfrp1","Fzd2",0.576070235972544
"Tnfsf9","Traf2",0.442415957878854
