"from","to","weight"
"Adam9","Itga6",0.45851690128031
"Adam9","Itgav",0.620542353759797
"Adam9","Itgb1",0.583522040908115
"Adam9","Itgb5",0.582302604996125
"Angptl2","Itga5",0.343061968476499
"Angptl2","Itgb1",0.32097584242239
"Angptl2","Tie1",0.361403080905681
"Apoe","App",0.813591620228587
"Apoe","Lrp1",0.891880566030718
"Apoe","Lrp5",0.469166504641594
"Apoe","Scarb1",0.827609772695103
"Apoe","Vldlr",0.732773500237575
"Cd72","Sema4d",1.02025017637895
"Clec11a","Itgb1",0.32097584242239
"Csf1","Csf2ra",0.380583309685455
"Csf1","Sirpa",0.438196068333236
"H2-DMb1","Cd74",0.697645377200846
"Mmrn2","Cd93",0.419266094409565
"Serpinf1","Lrp6",0.516393714174126
"Spon2","Itga5",0.343061968476499
"Spon2","Itgb1",0.32097584242239
