"from","to","weight"
"Efemp2","Aqp1",0.774416102653457
"Efemp2","Lingo1",0.828982313661599
"Efemp2","Plscr4",0.952881945753742
"Epha4","Fgfr1",0.746425903658877
"Fap","Npr2",0.428456452988097
"Flrt2","Unc5b",0.348112965830971
"Igfbp4","Lrp6",0.935348365582944
"Jag1","Notch1",1.45008161420581
"Jag1","Notch2",0.98124977010728
"Mmrn2","Cd93",0.419266094409565
"Rarres2","Ccrl2",0.631375506231919
"Siglec1","Cd47",0.153878324097027
"Tnfsf9","Pvr",0.407259924259257
"Tnfsf9","Traf2",0.442415957878854
