"from","to","weight"
"Adm","Calcrl",0.904619757536136
"Adm","Gpr182",0.420102417023342
"Adm","Ramp2",1.01437914594811
"Bmp2","Acvr1",0.993680706405044
"Bmp2","Bmpr1a",1.37462239443125
"Bmp2","Bmpr2",1.24826708016845
"Bmp2","Eng",0.728922146454953
"Calr","Itgav",0.58440148465967
"Calr","Scarf1",0.935742511877654
"Calr","Tap1",0.913700716419231
"Calr","Tap2",0.753834863623504
"Ccl19","Ccrl2",0.939661221042665
"Cd59a","Stab1",0.391701734107304
"Cd59b","Stab1",0.391701734107304
"Igsf3","Ptgfrn",0.385754309309518
"Lama2","Dag1",1.13758264982166
"Lama2","Itga1",0.516070952617506
"Lama2","Itga6",0.800827553656451
"Lama2","Itga9",0.543348421342934
"Lama2","Itgb1",0.666722292616309
"Lama2","Itgb4",0.789872570625271
"Lama2","Rpsa",0.383700402695029
"Thbs1","Cd36",0.736559987089938
"Thbs1","Cd47",0.894774584411302
"Thbs1","Itga6",0.530403142763105
"Thbs1","Itgb1",0.645422914083387
"Thbs1","Lrp5",0.376109475966424
"Thbs1","Sdc1",0.676612868447205
"Thbs1","Sdc4",0.465751067673871
"Vegfa","Flt1",1.6242902578616
"Vegfa","Kdr",1.58141601661067
"Vegfa","Nrp1",1.3850842197522
"Vegfa","Nrp2",1.61375556443546
