"from","to","weight"
"Apln","Aplnr",1.01082941858744
"Calr","Scarf1",0.935742511877654
"Calr","Tap1",0.913700716419231
"Calr","Tap2",0.753834863623504
"Il15","Il2rg",1.18362663283631
"Jag2","Notch1",1.1557346418677
"Jag2","Notch4",0.963005403566953
"Lfng","Notch1",0.995047068614723
"Ltbp3","Itgb5",0.385907875452548
"Mfap5","Notch1",1.18701694528876
"Penk","Ogfr",0.418951929095635
"Pltp","Abca1",0.844054945784419
"Sema3c","Nrp1",0.888146771278255
"Sema3c","Nrp2",0.475673000928076
"Sema3c","Plxna2",0.359130259560513
"Sema3c","Plxna4",0.141767287973912
"Sema3c","Plxnd1",0.609029980776739
