"from","to","weight"
"Adamts3","Ccbe1",0.489538317538657
"Adm","Calcrl",0.904619757536136
"Adm","Ramp2",1.01437914594811
"Bmp2","Acvr1",0.993680706405044
"Bmp2","Bmpr1a",1.37462239443125
"Bmp2","Bmpr2",1.24826708016845
"Bmp2","Eng",0.728922146454953
"Calr","Itgav",0.58440148465967
"Calr","Lrp1",0.696796978706551
"Calr","Tap1",0.913700716419231
"Calr","Tap2",0.753834863623504
"Cklf","Lrp6",0.395382949929691
"Col5a2","Ddr1",0.410580653773844
"Col5a2","Ddr2",0.375446233481756
"Col5a2","Itga1",0.516070952617506
"Col5a2","Itga11",0.541419116727641
"Col5a2","Itgb1",0.485123668825156
"Col5a2","Sdc1",0.492320296997059
"Fgf1","Fgfr1",1.66944121463338
"Fgf1","Nrp1",0.575526650411952
"Pdgfa","Furin",0.718630658365127
"Pdgfa","Pdgfra",1.22566071949657
"Pdgfa","Pdgfrb",1.02674452228251
"Pdgfc","Pdgfra",1.11804371080961
"Pdgfc","Pdgfrb",1.06700987366867
"Vegfa","Nrp1",1.3850842197522
