"from","to","weight"
"Angptl4","Cdh5",0.349779127980551
"Angptl4","Gpihbp1",0.84638230096034
"Angptl4","Itga5",0.108359105297036
"Angptl4","Itgav",0.107815039491882
"Angptl4","Itgb1",0.487074569070585
"Angptl4","Lpl",1.25388495068933
"Angptl4","Sdc3",0.355963819526152
"Angptl4","Sdc4",0.465751067673871
"Cx3cl1","Cx3cr1",0.989305910257128
"Cx3cl1","Itga4",0.161381475418202
"Cx3cl1","Itgav",0.411250403678617
"Cx3cl1","Itgb1",0.167123196955939
"Esam","Esam",0.200207371088966
"Fgf1","Fgfr1",1.66944121463338
"Fgf1","Nrp1",0.575526650411952
"Inhba","Eng",0.652611051752302
"Reck","Mmp9",0.592505631056369
"Sema4c","Plxnb2",0.551021243990619
"Tgm2","Itga4",0.468456652704744
"Tgm2","Itga9",0.543348421342934
"Tgm2","Itgb1",0.55086385541329
"Tgm2","Sdc4",0.463133602220728
"Tnfsf9","Traf2",0.442415957878854
"Zdhhc5","S1pr1",0.344016260811094
