"from","to","weight"
"Cklf","Lrp6",0.395382949929691
"Col16a1","Itga1",0.475652996305578
"Col16a1","Itga10",0.493126699459047
"Col16a1","Itgb1",0.666722292616309
"Epha4","Fgfr1",0.746425903658877
"Epha4","Fgfr3",0.766337717069036
"Gpi1","Amfr",0.688064253642729
"Lama2","Dag1",1.13758264982166
"Lama2","Itga1",0.516070952617506
"Lama2","Itga6",0.800827553656451
"Lama2","Itga7",0.750291986483123
"Lama2","Itga9",0.543348421342934
"Lama2","Itgb1",0.666722292616309
"Lama2","Rpsa",0.383700402695029
"Ltbp3","Itgb5",0.385907875452548
"Mif","Cd74",0.878891344539571
"Sema5a","Plxna1",0.385387679331364
"Sema5a","Plxna2",0.359130259560513
"Sost","Lrp5",1.09846467776984
"Sost","Lrp6",1.18278838506154
"Wnt5a","Fzd1",1.04402469007575
"Wnt5a","Fzd2",1.098677866255
"Wnt5a","Fzd4",0.766876559550848
"Wnt5a","Fzd7",0.898510470129549
"Wnt5a","Lrp5",0.745827661840507
"Wnt5a","Lrp6",1.01629982253137
"Wnt5a","Mcam",0.337722923054172
"Wnt5a","Ryk",0.855826041962851
