"module","celltype","n_hub_genes","correlation","p_value","fdr","abs_correlation"
"lightcyan","SmoothMuscleCells",39,0.551284275886749,0.00523437316577389,0.119896779545195,0.551284275886749
"midnightblue","Leukocytes",33,-0.536709589343637,0.00685124454543974,0.119896779545195,0.536709589343637
"midnightblue","Myocytes",32,-0.536709589343637,0.00685124454543974,0.119896779545195,0.536709589343637
"lightcyan","EndocardialCells",24,0.551284275886749,0.00523437316577389,0.119896779545195,0.551284275886749
"midnightblue","Fibroblasts",23,-0.536709589343637,0.00685124454543974,0.119896779545195,0.536709589343637
"lightcyan","Leukocytes",15,0.551284275886749,0.00523437316577389,0.119896779545195,0.551284275886749
"lightcyan","EndothelialCells",12,0.551284275886749,0.00523437316577389,0.119896779545195,0.551284275886749
"midnightblue","EndocardialCells",12,-0.536709589343637,0.00685124454543974,0.119896779545195,0.536709589343637
"lightcyan","Myocytes",11,0.551284275886749,0.00523437316577389,0.119896779545195,0.551284275886749
"midnightblue","SmoothMuscleCells",6,-0.536709589343637,0.00685124454543974,0.119896779545195,0.536709589343637
"lightcyan","Fibroblasts",5,0.551284275886749,0.00523437316577389,0.119896779545195,0.551284275886749
"midnightblue","EndothelialCells",5,-0.536709589343637,0.00685124454543974,0.119896779545195,0.536709589343637
"orange","Myocytes",59,0.504132216503353,0.0120077948621892,0.140090940058874,0.504132216503353
"tan","Myocytes",146,0.452215211953958,0.0265117016255311,0.166755675612064,0.452215211953958
"brown","Myocytes",109,0.472271392618315,0.0197936937146029,0.166755675612064,0.472271392618315
"yellow","SmoothMuscleCells",63,-0.446855177587825,0.0285866872477824,0.166755675612064,0.446855177587825
"yellow","Fibroblasts",62,-0.446855177587825,0.0285866872477824,0.166755675612064,0.446855177587825
"yellow","EndothelialCells",59,-0.446855177587825,0.0285866872477824,0.166755675612064,0.446855177587825
"yellow","EndocardialCells",53,-0.446855177587825,0.0285866872477824,0.166755675612064,0.446855177587825
"brown","Leukocytes",35,0.472271392618315,0.0197936937146029,0.166755675612064,0.472271392618315
"brown","Fibroblasts",33,0.472271392618315,0.0197936937146029,0.166755675612064,0.472271392618315
"brown","EndocardialCells",32,0.472271392618315,0.0197936937146029,0.166755675612064,0.472271392618315
"brown","EndothelialCells",25,0.472271392618315,0.0197936937146029,0.166755675612064,0.472271392618315
"brown","SmoothMuscleCells",18,0.472271392618315,0.0197936937146029,0.166755675612064,0.472271392618315
"yellow","Leukocytes",12,-0.446855177587825,0.0285866872477824,0.166755675612064,0.446855177587825
"tan","SmoothMuscleCells",3,0.452215211953958,0.0265117016255311,0.166755675612064,0.452215211953958
"darkorange","SmoothMuscleCells",36,0.405201483671766,0.0494961955150447,0.194842525771437,0.405201483671766
"darkorange","EndocardialCells",11,0.405201483671766,0.0494961955150447,0.194842525771437,0.405201483671766
"darkorange","EndothelialCells",1,0.405201483671766,0.0494961955150447,0.194842525771437,0.405201483671766
"darkorange","Fibroblasts",1,0.405201483671766,0.0494961955150447,0.194842525771437,0.405201483671766
"darkorange","Myocytes",1,0.405201483671766,0.0494961955150447,0.194842525771437,0.405201483671766
