"contrast","group","sender","receiver","ligand","receptor","lr_interaction","id","scaled_lfc_ligand","scaled_p_val_ligand_adapted","scaled_lfc_receptor","scaled_p_val_receptor_adapted","max_scaled_activity","scaled_pb_ligand","scaled_pb_receptor","fraction_expressing_ligand_receptor","prioritization_score","top_group","ligand_module","receptor_module"
"age30m-age3m","age30m","EndothelialCells","Leukocytes","Edn1","Ednrb","Edn1_Ednrb","Edn1_Ednrb_EndothelialCells_Leukocytes",0.924910071942446,0.994154676258993,0.932212296374146,0.974251182343668,0.998909436279736,1.001,0.982645072075449,1,0.982553103635802,"age30m",NA,NA
"age30m-age3m","age30m","Leukocytes","Fibroblasts","Tgfb1","Tgfbr1","Tgfb1_Tgfbr1","Tgfb1_Tgfbr1_Leukocytes_Fibroblasts",0.882868705035971,0.930305755395683,0.877561744613768,0.984760903836048,1.001,1.001,1.001,1,0.973458092406789,"age30m","brown",NA
"age30m-age3m","age30m","EndothelialCells","Fibroblasts","Bmp4","Bmpr1a","Bmp4_Bmpr1a","Bmp4_Bmpr1a_EndothelialCells_Fibroblasts",0.91591726618705,0.992805755395683,0.834471886495008,0.932475039411456,0.97922279011706,1.001,1.001,1,0.96984296064361,"age30m",NA,NA
"age30m-age3m","age30m","Leukocytes","Fibroblasts","Tgfb1","Sdc2","Tgfb1_Sdc2","Tgfb1_Sdc2_Leukocytes_Fibroblasts",0.882868705035971,0.930305755395683,0.837099316868103,0.960588544403573,1.001,1.001,1.001,1,0.968071860141944,"age30m","brown","brown"
"age30m-age3m","age30m","Leukocytes","EndothelialCells","Tgfb1","Eng","Tgfb1_Eng","Tgfb1_Eng_Leukocytes_EndothelialCells",0.882868705035971,0.930305755395683,0.795060430898581,0.948502364687336,1.001,1.001,1.001,1,0.963561438001464,"age30m","brown",NA
"age30m-age3m","age30m","Leukocytes","Fibroblasts","Tgfb1","Pdgfra","Tgfb1_Pdgfra","Tgfb1_Pdgfra_Leukocytes_Fibroblasts",0.882868705035971,0.930305755395683,0.827640567524961,0.909879138202838,1.001,1.001,1.001,1,0.963057847179954,"age30m","brown","brown"
"age30m-age3m","age30m","Fibroblasts","EndothelialCells","Tgfb2","Acvr1","Tgfb2_Acvr1","Tgfb2_Acvr1_Fibroblasts_EndothelialCells",0.768660071942446,0.926258992805755,0.884918549658434,0.957435627955859,1.001,1.001,1.001,1,0.961939436863541,"age30m",NA,NA
"age30m-age3m","age30m","Fibroblasts","Fibroblasts","Tgfb2","Tgfbr1","Tgfb2_Tgfbr1","Tgfb2_Tgfbr1_Fibroblasts_Fibroblasts",0.768660071942446,0.926258992805755,0.877561744613768,0.984760903836048,0.989717231393835,1.001,1.001,1,0.961723014665474,"age30m",NA,NA
"age30m-age3m","age30m","Leukocytes","EndothelialCells","Tgfb1","Acvrl1","Tgfb1_Acvrl1","Tgfb1_Acvrl1_Leukocytes_EndothelialCells",0.882868705035971,0.930305755395683,0.773778244876511,0.914871255911718,1.001,1.001,1.001,1,0.958985330101657,"age30m","brown",NA
"age30m-age3m","age30m","Leukocytes","Fibroblasts","Tgfb1","Itgav","Tgfb1_Itgav","Tgfb1_Itgav_Leukocytes_Fibroblasts",0.882868705035971,0.930305755395683,0.776142932212296,0.895165528113505,1.001,1.001,1.001,1,0.957540243396454,"age30m","brown",NA
"age30m-age3m","age30m","Fibroblasts","Leukocytes","Ccl19","Ccrl2","Ccl19_Ccrl2","Ccl19_Ccrl2_Fibroblasts_Leukocytes",0.924010791366906,0.906025179856115,0.896479243300053,0.920126116657909,0.918573153176609,1.001,1.001,1,0.957315636461183,"age30m","brown",NA
"age30m-age3m","age30m","Fibroblasts","EndothelialCells","Tgfb2","Eng","Tgfb2_Eng","Tgfb2_Eng_Fibroblasts_EndothelialCells",0.768660071942446,0.926258992805755,0.795060430898581,0.948502364687336,1.001,1.001,1.001,1,0.95370682169451,"age30m",NA,NA
"age30m-age3m","age30m","Fibroblasts","EndothelialCells","Penk","Ogfr","Penk_Ogfr","Penk_Ogfr_Fibroblasts_EndothelialCells",0.90580035971223,0.990557553956835,0.720966894377299,0.816079873883342,0.973407270721189,1.001,1.001,1,0.948684935281007,"age30m","tan",NA
"age30m-age3m","age30m","Leukocytes","Fibroblasts","Tgfb1","Tgfbr3","Tgfb1_Tgfbr3","Tgfb1_Tgfbr3_Leukocytes_Fibroblasts",0.882868705035971,0.930305755395683,0.727272727272727,0.835522858644246,1.001,1.001,1.001,1,0.948497503862386,"age30m","brown",NA
"age30m-age3m","age30m","Leukocytes","Leukocytes","Tnf","Ltbr","Tnf_Ltbr","Tnf_Ltbr_Leukocytes_Leukocytes",0.746627697841727,0.774280575539568,0.880714661061482,0.961114030478192,1.001,1.001,1.001,1,0.947394747076747,"age30m",NA,NA
"age30m-age3m","age30m","Leukocytes","Fibroblasts","Tgfb1","Tgfbr2","Tgfb1_Tgfbr2","Tgfb1_Tgfbr2_Leukocytes_Fibroblasts",0.882868705035971,0.930305755395683,0.730425643720441,0.854440357330531,1.001,1.001,0.9725641509851,1,0.945597396954402,"age30m","brown",NA
