"","celltype","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","module","database"
"1","Myocytes","GO:0050680","negative regulation of epithelial cell proliferation","5/35","133/13010",0.037593984962406,13.9742212674544,7.81091782248284,2.62747738984729e-05,0.0449035885924901,0.0345720709190433,"Gas1/Pten/Sav1/Sfrp1/Tgfb1",5,"darkred","GO_BP"
"2","Myocytes","GO:0001558","regulation of cell growth","7/35","377/13010",0.0185676392572944,6.90185676392573,6.0396029406915,5.41207607442241e-05,0.0462461900559395,0.0356057636475158,"Gas1/Kazald1/Pten/Rab21/Sfrp1/Srf/Tgfb1",7,"darkred","GO_BP"
"3","Leukocytes","GO:1902916","positive regulation of protein polyubiquitination","2/12","19/13010",0.105263157894737,114.122807017544,14.992704999017,0.000132209977351039,0.0261775755155057,0.0205969227873197,"Nmi/Spsb4",2,"darkgrey","GO_BP"
"4","Leukocytes","GO:1902914","regulation of protein polyubiquitination","2/12","29/13010",0.0689655172413793,74.7701149425287,12.0836934087038,0.000312297220826186,0.0309174248617925,0.0243263098327766,"Nmi/Spsb4",2,"darkgrey","GO_BP"
"5","SmoothMuscleCells","GO:0045668","negative regulation of osteoblast differentiation","2/5","53/13010",0.0377358490566038,98.188679245283,13.9012279999083,0.000161565645903241,0.0219729278428407,0.0112245606627515,"Igfbp5/Ipo7",2,"darkgreen","GO_BP"
"6","EndocardialCells","GO:0006397","mRNA processing","21/215","427/13010",0.0491803278688525,2.97598170034312,5.38177824950637,8.1731475430065e-06,0.0235468380714017,0.0234440284786239,"Armc7/Cbll1/Cdk9/Celf1/Cnot6l/Ddx17/Ddx42/Hnrnpa3/Hnrnph1/Lsm2/Mbnl2/Papola/Phf5a/Rbm7/Rbpms/Rprd1a/Snrpd2/Ubl5/Upf3b/Xab2/Zfp830",21,"turquoise","GO_BP"
"7","Leukocytes","GO:0002181","cytoplasmic translation","102/2493","207/13010",0.492753623188406,2.57149002714848,11.0962974085575,7.09155117627478e-23,3.99679824294847e-19,3.54204319278146e-19,"Akt1/Akt1s1/Akt2/Alkbh3/Ang/Ckap5/Cpeb2/Cpeb4/Csde1/Ddrgk1/Denr/Dhx29/Eef2/Eif2s2/Eif2s3x/Eif3c/Eif3e/Eif3f/Eif3h/Eif3k/Eif4a1/Eif4ebp1/Elac1/Fau/Fmr1/Fxr1/Gpr155/Gtpbp2/Hnrnpu/Impact/Mcts1/Nck1/Ogt/Plxnb2/Rchy1/Rpl10/Rpl10a/Rpl11/Rpl12/Rpl13a/Rpl14/Rpl15/Rpl17/Rpl18/Rpl19/Rpl21/Rpl22/Rpl22l1/Rpl23/Rpl23a/Rpl24/Rpl27/Rpl27a/Rpl28/Rpl29/Rpl31/Rpl32/Rpl34/Rpl35/Rpl36/Rpl41/Rpl5/Rpl6/Rpl7/Rpl7a/Rpl8/Rpl9/Rplp1/Rplp2/Rps10/Rps11/Rps12/Rps13/Rps14/Rps15/Rps15a/Rps16/Rps17/Rps18/Rps19/Rps2/Rps20/Rps23/Rps24/Rps25/Rps26/Rps27a/Rps3/Rps4x/Rps5/Rps6/Rps7/Rps8/Rps9/Rraga/Rragc/Sh3bgrl/Tcf25/Uba52/Ufsp2/Usp4/Ybx1",102,"turquoise","GO_BP"
"8","Leukocytes","GO:0140241","translation at synapse","38/2493","48/13010",0.791666666666667,4.13140125685252,10.5818229492426,3.66481873529724e-19,6.88497279737841e-16,6.10160171894224e-16,"Eef2/Rpl10/Rpl10a/Rpl12/Rpl13a/Rpl14/Rpl15/Rpl17/Rpl22/Rpl23/Rpl23a/Rpl24/Rpl27/Rpl27a/Rpl28/Rpl29/Rpl32/Rpl34/Rpl35/Rpl36/Rpl5/Rpl6/Rpl7/Rpl7a/Rpl8/Rpl9/Rplp2/Rps10/Rps11/Rps12/Rps14/Rps15a/Rps16/Rps24/Rps26/Rps27a/Rps5/Uba52",38,"turquoise","GO_BP"
"9","Leukocytes","GO:0140242","translation at postsynapse","38/2493","48/13010",0.791666666666667,4.13140125685252,10.5818229492426,3.66481873529724e-19,6.88497279737841e-16,6.10160171894224e-16,"Eef2/Rpl10/Rpl10a/Rpl12/Rpl13a/Rpl14/Rpl15/Rpl17/Rpl22/Rpl23/Rpl23a/Rpl24/Rpl27/Rpl27a/Rpl28/Rpl29/Rpl32/Rpl34/Rpl35/Rpl36/Rpl5/Rpl6/Rpl7/Rpl7a/Rpl8/Rpl9/Rplp2/Rps10/Rps11/Rps12/Rps14/Rps15a/Rps16/Rps24/Rps26/Rps27a/Rps5/Uba52",38,"turquoise","GO_BP"
"10","Leukocytes","GO:0140236","translation at presynapse","37/2493","47/13010",0.787234042553192,4.10826911095749,10.3932635495077,1.533907992121e-18,2.1612763608985e-15,1.91536669016162e-15,"Rpl10/Rpl10a/Rpl12/Rpl13a/Rpl14/Rpl15/Rpl17/Rpl22/Rpl23/Rpl23a/Rpl24/Rpl27/Rpl27a/Rpl28/Rpl29/Rpl32/Rpl34/Rpl35/Rpl36/Rpl5/Rpl6/Rpl7/Rpl7a/Rpl8/Rpl9/Rplp2/Rps10/Rps11/Rps12/Rps14/Rps15a/Rps16/Rps24/Rps26/Rps27a/Rps5/Uba52",37,"turquoise","GO_BP"
