"","celltype","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","module","database"
"1","EndocardialCells","R-MMU-77075","RNA Pol II CTD phosphorylation and interaction with CE","6/193","25/6819",0.24,8.47958549222798,6.39390531694864,5.37476906539421e-05,0.0248929994156955,0.0236775517587466,"12572/13871/68705/14885/231329/24018",6,"darkred","Reactome"
"2","EndocardialCells","R-MMU-72086","mRNA Capping","6/193","27/6819",0.222222222222222,7.85146804835924,6.08762816094263,8.56901873173685e-05,0.0248929994156955,0.0236775517587466,"12572/13871/68705/14885/231329/24018",6,"darkred","Reactome"
"3","Leukocytes","R-MMU-1474244","Extracellular matrix organization","3/7","208/6819",0.0144230769230769,14.0501373626374,6.12707745809434,0.00089422992133735,0.0277211275614578,0.0169433037727077,"16775/17150/81877",3,"darkred","Reactome"
"4","Fibroblasts","R-MMU-196780","Biotin transport and metabolism","1/1","10/6819",0.1,681.9,26.0940606268936,0.00146649068778426,0.00615926088869356,0.00108057208573571,"100705",1,"darkgrey","Reactome"
"5","Fibroblasts","R-MMU-200425","Carnitine shuttle","1/1","14/6819",0.0714285714285714,487.071428571429,22.0470276584266,0.00205308696289785,0.00615926088869356,0.00108057208573571,"100705",1,"darkgrey","Reactome"
"6","Fibroblasts","R-MMU-196849","Metabolism of water-soluble vitamins and cofactors","1/1","87/6819",0.0114942528735632,78.3793103448276,8.79655104827043,0.012758468983722,0.0253409590849099,0.00444578229559823,"100705",1,"darkgrey","Reactome"
"7","Fibroblasts","R-MMU-8978868","Fatty acid metabolism","1/1","137/6819",0.0072992700729927,49.7737226277372,6.98381862792393,0.0200909224226425,0.0253409590849099,0.00444578229559823,"100705",1,"darkgrey","Reactome"
"8","Fibroblasts","R-MMU-196854","Metabolism of vitamins and cofactors","1/1","144/6819",0.00694444444444444,47.3541666666667,6.80838943265341,0.0211174659040916,0.0253409590849099,0.00444578229559823,"100705",1,"darkgrey","Reactome"
"9","Leukocytes","R-MMU-983168","Antigen processing: Ubiquitination & Proteasome degradation","3/6","249/6819",0.0120481927710843,13.6927710843374,6.05491938736517,0.000886577563075125,0.0078415462335754,0.00300154879754082,"269514/170823/211949",3,"darkgrey","Reactome"
"10","Leukocytes","R-MMU-983169","Class I MHC mediated antigen processing & presentation","3/6","293/6819",0.0102389078498294,11.6365187713311,5.52261433034054,0.00142573567883189,0.0078415462335754,0.00300154879754082,"269514/170823/211949",3,"darkgrey","Reactome"
"11","Leukocytes","R-MMU-8951664","Neddylation","2/6","184/6819",0.0108695652173913,12.3532608695652,4.63280471626504,0.0101131559167038,0.0370815716945806,0.0141939030409878,"269514/211949",2,"darkgrey","Reactome"
"12","SmoothMuscleCells","R-MMU-8864260","Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors","1/2","17/6819",0.0588235294117647,200.558823529412,14.109899847295,0.00498021786226976,0.0149406535868093,NA,"106931",1,"darkgreen","Reactome"
"13","SmoothMuscleCells","R-MMU-8957275","Post-translational protein phosphorylation","1/2","86/6819",0.0116279069767442,39.6453488372093,6.17716211944426,0.0250664082821063,0.0268033544393564,NA,"16011",1,"darkgreen","Reactome"
"14","SmoothMuscleCells","R-MMU-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","1/2","92/6819",0.0108695652173913,37.0597826086956,5.96421311371415,0.0268033544393564,0.0268033544393564,NA,"16011",1,"darkgreen","Reactome"
"15","EndocardialCells","R-MMU-72163","mRNA Splicing - Major Pathway","13/124","178/6819",0.0730337078651685,4.01626495106923,5.5491542749195,1.84772899302231e-05,0.00676794151204985,0.00662508423430449,"72047/233908/229279/59013/27756/68479/17749/67010/107686/66177/68134/67439/66983",13,"turquoise","Reactome"
"16","EndocardialCells","R-MMU-72172","mRNA Splicing","13/124","184/6819",0.0706521739130435,3.88529978962132,5.39937439070336,2.63192568875568e-05,0.00676794151204985,0.00662508423430449,"72047/233908/229279/59013/27756/68479/17749/67010/107686/66177/68134/67439/66983",13,"turquoise","Reactome"
