"gene_celltype","module","celltype","gene","kME","is_hub"
"0610007N19Rik_EndocardialCells","darkred","EndocardialCells","0610007N19Rik",0.778772692268911,TRUE
"0610007P08Rik_EndocardialCells","darkgrey","EndocardialCells","0610007P08Rik",0.378975231152091,FALSE
"0610007P14Rik_EndocardialCells","darkgreen","EndocardialCells","0610007P14Rik",0.46812111699208,FALSE
"0610007P22Rik_EndocardialCells","turquoise","EndocardialCells","0610007P22Rik",0.207729287057899,FALSE
"0610009B22Rik_EndocardialCells","purple","EndocardialCells","0610009B22Rik",0.578211156633985,FALSE
"0610009O20Rik_EndocardialCells","blue","EndocardialCells","0610009O20Rik",0.346035916245377,FALSE
"0610010B08Rik_EndocardialCells","cyan","EndocardialCells","0610010B08Rik",0.358686653610545,FALSE
"0610010O12Rik_EndocardialCells","pink","EndocardialCells","0610010O12Rik",0.538503375740923,FALSE
"0610012G03Rik_EndocardialCells","turquoise","EndocardialCells","0610012G03Rik",0.300669774714865,FALSE
"100043387_EndocardialCells","darkred","EndocardialCells","100043387",0.414062453878763,FALSE
"1110001J03Rik_EndocardialCells","blue","EndocardialCells","1110001J03Rik",0.477712150368142,FALSE
"1110002L01Rik_EndocardialCells","brown","EndocardialCells","1110002L01Rik",0.778372533774711,FALSE
"1110003E01Rik_EndocardialCells","pink","EndocardialCells","1110003E01Rik",0.667650080777447,TRUE
"1110004E09Rik_EndocardialCells","red","EndocardialCells","1110004E09Rik",0.634364658919068,FALSE
"1110004F10Rik_EndocardialCells","turquoise","EndocardialCells","1110004F10Rik",0.308383669021827,FALSE
"1110005A03Rik_EndocardialCells","pink","EndocardialCells","1110005A03Rik",0.360478469836436,FALSE
"1110008F13Rik_EndocardialCells","lightgreen","EndocardialCells","1110008F13Rik",0.101435014518137,FALSE
"1110008J03Rik_EndocardialCells","cyan","EndocardialCells","1110008J03Rik",0.53729615766944,FALSE
"1110012L19Rik_EndocardialCells","red","EndocardialCells","1110012L19Rik",0.836772095123031,TRUE
"1110014N23Rik_EndocardialCells","red","EndocardialCells","1110014N23Rik",0.669580881707929,FALSE
"1110020G09Rik_EndocardialCells","purple","EndocardialCells","1110020G09Rik",0.398151951316742,FALSE
"1110021L09Rik_EndocardialCells","salmon","EndocardialCells","1110021L09Rik",-0.00977274402190699,FALSE
"1110028C15Rik_EndocardialCells","cyan","EndocardialCells","1110028C15Rik",0.70416826866341,TRUE
"1110032A03Rik_EndocardialCells","blue","EndocardialCells","1110032A03Rik",0.493596885373596,FALSE
"1110032A04Rik_EndocardialCells","salmon","EndocardialCells","1110032A04Rik",0.271275132059544,FALSE
"1110032F04Rik_EndocardialCells","cyan","EndocardialCells","1110032F04Rik",0.389780123305231,FALSE
"1110034A24Rik_EndocardialCells","green","EndocardialCells","1110034A24Rik",0.537466556353106,TRUE
"1110034B05Rik_EndocardialCells","yellow","EndocardialCells","1110034B05Rik",0.48878931033404,TRUE
"1110038D17Rik_EndocardialCells","midnightblue","EndocardialCells","1110038D17Rik",0.370553876101019,FALSE
"1110038F14Rik_EndocardialCells","blue","EndocardialCells","1110038F14Rik",0.431701207168497,FALSE
"1110046J04Rik_EndocardialCells","blue","EndocardialCells","1110046J04Rik",0.720129915003412,TRUE
"1110049F12Rik_EndocardialCells","purple","EndocardialCells","1110049F12Rik",0.590679073481061,FALSE
"1110051M20Rik_EndocardialCells","red","EndocardialCells","1110051M20Rik",0.429674196027323,FALSE
"1110054M08Rik_EndocardialCells","purple","EndocardialCells","1110054M08Rik",0.481169375422738,FALSE
"1110054O05Rik_EndocardialCells","purple","EndocardialCells","1110054O05Rik",0.516302049092427,FALSE
"1110058L19Rik_EndocardialCells","turquoise","EndocardialCells","1110058L19Rik",0.585165818633195,FALSE
"1110059E24Rik_EndocardialCells","lightgreen","EndocardialCells","1110059E24Rik",0.296084481491604,FALSE
"1110059G10Rik_EndocardialCells","blue","EndocardialCells","1110059G10Rik",0.626736468367837,FALSE
"1110067D22Rik_EndocardialCells","blue","EndocardialCells","1110067D22Rik",0.553431813732446,FALSE
"1190002H23Rik_EndocardialCells","cyan","EndocardialCells","1190002H23Rik",0.543116413155154,FALSE
"1190005I06Rik_EndocardialCells","darkorange","EndocardialCells","1190005I06Rik",0.575401283979161,TRUE
"1190007F08Rik_EndocardialCells","lightgreen","EndocardialCells","1190007F08Rik",0.364961306320098,FALSE
"1190007I07Rik_EndocardialCells","darkred","EndocardialCells","1190007I07Rik",0.560945964517277,FALSE
"1200009I06Rik_EndocardialCells","red","EndocardialCells","1200009I06Rik",0.679228012941558,FALSE
"1200014J11Rik_EndocardialCells","purple","EndocardialCells","1200014J11Rik",0.49094800569959,FALSE
"1200016B10Rik_EndocardialCells","red","EndocardialCells","1200016B10Rik",0.41449780103753,FALSE
"1300001I01Rik_EndocardialCells","tan","EndocardialCells","1300001I01Rik",0.51717510546514,FALSE
"1300010F03Rik_EndocardialCells","blue","EndocardialCells","1300010F03Rik",0.554348662642629,FALSE
"1300018I17Rik_EndocardialCells","darkred","EndocardialCells","1300018I17Rik",0.539321746639772,FALSE
"1300018J18Rik_EndocardialCells","cyan","EndocardialCells","1300018J18Rik",0.430842717149643,FALSE
"1500003O03Rik_EndocardialCells","purple","EndocardialCells","1500003O03Rik",0.697409740021698,TRUE
"1500009L16Rik_EndocardialCells","paleturquoise","EndocardialCells","1500009L16Rik",0.325896328551978,FALSE
"1500011B03Rik_EndocardialCells","blue","EndocardialCells","1500011B03Rik",0.590525602529666,FALSE
"1500011H22Rik_EndocardialCells","pink","EndocardialCells","1500011H22Rik",0.261025727304799,FALSE
"1500011K16Rik_EndocardialCells","red","EndocardialCells","1500011K16Rik",0.811959414983606,TRUE
"1500015A07Rik_EndocardialCells","red","EndocardialCells","1500015A07Rik",0.285266276976725,FALSE
"1500015O10Rik_EndocardialCells","darkolivegreen","EndocardialCells","1500015O10Rik",0.373140929303143,FALSE
"1500031L02Rik_EndocardialCells","blue","EndocardialCells","1500031L02Rik",0.510508209972465,FALSE
"1600002H07Rik_EndocardialCells","red","EndocardialCells","1600002H07Rik",0.301674431816701,FALSE
"1600002K03Rik_EndocardialCells","darkred","EndocardialCells","1600002K03Rik",0.598193811380174,FALSE
"1600012F09Rik_EndocardialCells","darkred","EndocardialCells","1600012F09Rik",0.688192323801248,FALSE
"1600012H06Rik_EndocardialCells","darkred","EndocardialCells","1600012H06Rik",0.764914162274584,TRUE
"1600020E01Rik_EndocardialCells","cyan","EndocardialCells","1600020E01Rik",0.549765561410521,FALSE
"1600021P15Rik_EndocardialCells","blue","EndocardialCells","1600021P15Rik",0.42470245362831,FALSE
"1600027N09Rik_EndocardialCells","green","EndocardialCells","1600027N09Rik",0.545614854724484,TRUE
"1700008J07Rik_EndocardialCells","lightgreen","EndocardialCells","1700008J07Rik",0.613233575851326,TRUE
"1700010I14Rik_EndocardialCells","paleturquoise","EndocardialCells","1700010I14Rik",0.227651394163487,FALSE
"1700012D01Rik_EndocardialCells","red","EndocardialCells","1700012D01Rik",0.606419336554393,FALSE
"1700012D14Rik_EndocardialCells","lightgreen","EndocardialCells","1700012D14Rik",0.268648533416056,FALSE
"1700017B05Rik_EndocardialCells","red","EndocardialCells","1700017B05Rik",0.617856495144913,FALSE
"1700018L02Rik_EndocardialCells","yellow","EndocardialCells","1700018L02Rik",0.563450002982452,TRUE
"1700019E19Rik_EndocardialCells","purple","EndocardialCells","1700019E19Rik",0.752941355599912,TRUE
"1700020O03Rik_EndocardialCells","yellow","EndocardialCells","1700020O03Rik",0.269248771746278,FALSE
"1700021F05Rik_EndocardialCells","red","EndocardialCells","1700021F05Rik",0.731226071330133,TRUE
"1700021K19Rik_EndocardialCells","violet","EndocardialCells","1700021K19Rik",0.167264472297377,FALSE
"1700026L06Rik_EndocardialCells","yellow","EndocardialCells","1700026L06Rik",0.233741899250933,FALSE
