"gene_celltype","module","celltype","gene","kME"
"Cnbp_Fibroblasts","black","Fibroblasts","Cnbp",0.96909647480411
"Gnb1_EndothelialCells","black","EndothelialCells","Gnb1",0.96668034624842
"Mir126_EndocardialCells","black","EndocardialCells","Mir126",0.966471713082494
"Eef1a1_EndothelialCells","black","EndothelialCells","Eef1a1",0.965610363635153
"Hmgb1_EndothelialCells","black","EndothelialCells","Hmgb1",0.964900603405398
"Mir684-1_EndocardialCells","black","EndocardialCells","Mir684-1",0.956026423119956
"Psap_EndothelialCells","black","EndothelialCells","Psap",0.955826554918
"H2-T22_Leukocytes","black","Leukocytes","H2-T22",0.954298839230781
"Hmgb1_EndocardialCells","black","EndocardialCells","Hmgb1",0.953568385344125
"Ifitm2_EndothelialCells","black","EndothelialCells","Ifitm2",0.952179713182681
"Mir684-1_Leukocytes","black","Leukocytes","Mir684-1",0.951743156248589
"H2-T22_EndocardialCells","black","EndocardialCells","H2-T22",0.950840031042903
"Ftl1_EndothelialCells","black","EndothelialCells","Ftl1",0.950348222980523
"Tubb5_EndothelialCells","black","EndothelialCells","Tubb5",0.948572469750641
"Gnas_EndothelialCells","black","EndothelialCells","Gnas",0.946898900522932
"Ubc_EndothelialCells","black","EndothelialCells","Ubc",0.945000260349773
"Cd81_EndothelialCells","black","EndothelialCells","Cd81",0.944620863486086
"Atp1b3_EndothelialCells","black","EndothelialCells","Atp1b3",0.944341068113392
"Mir5107_Leukocytes","black","Leukocytes","Mir5107",0.941013968109497
"Rpl18a_EndothelialCells","black","EndothelialCells","Rpl18a",0.940412142518143
"Itm2b_EndothelialCells","black","EndothelialCells","Itm2b",0.940366782109713
"Mir24-2_Leukocytes","black","Leukocytes","Mir24-2",0.939859460715287
"Eno1_EndocardialCells","black","EndocardialCells","Eno1",0.938955327925823
"Rplp0_EndothelialCells","black","EndothelialCells","Rplp0",0.938785208658992
"Ywhaz_EndothelialCells","black","EndothelialCells","Ywhaz",0.936601912961414
"Ugt1a6a_Fibroblasts","black","Fibroblasts","Ugt1a6a",0.933588906978876
"Traf5_Fibroblasts","black","Fibroblasts","Traf5",0.932944169212701
"Atp6v0c_EndocardialCells","black","EndocardialCells","Atp6v0c",0.932332024768808
"Hspa8_EndothelialCells","black","EndothelialCells","Hspa8",0.932134712853515
"Hnrnpk_EndothelialCells","black","EndothelialCells","Hnrnpk",0.931002643124238
"Anxa5_EndothelialCells","black","EndothelialCells","Anxa5",0.929541408184908
"Lpcat1_Fibroblasts","black","Fibroblasts","Lpcat1",0.929385453492004
"Dcdc2b_EndocardialCells","black","EndocardialCells","Dcdc2b",0.928787247992545
"Itm2b_SmoothMuscleCells","black","SmoothMuscleCells","Itm2b",0.927727969866787
"Ndfip1_EndocardialCells","black","EndocardialCells","Ndfip1",0.927195169552375
"H2-Q6_EndothelialCells","black","EndothelialCells","H2-Q6",0.926199226918169
"Gm1821_EndothelialCells","black","EndothelialCells","Gm1821",0.92535869664893
"Laptm4a_EndocardialCells","black","EndocardialCells","Laptm4a",0.925305696006701
"B2m_EndothelialCells","black","EndothelialCells","B2m",0.92310073564165
"Rab1_EndothelialCells","black","EndothelialCells","Rab1",0.92144021584733
"Rpl18a_SmoothMuscleCells","black","SmoothMuscleCells","Rpl18a",0.920768598909794
"Tnfsf13_Leukocytes","black","Leukocytes","Tnfsf13",0.920317603852889
"Actr2_EndothelialCells","black","EndothelialCells","Actr2",0.920204749720795
"Rac1_Fibroblasts","black","Fibroblasts","Rac1",0.919768433213111
"Prrt1_Fibroblasts","black","Fibroblasts","Prrt1",0.91940031107914
