"module","correlation","p_value","n_mice","fdr"
"midnightblue",-0.536709589343637,0.00685124454543974,24,0.119896779545195
"lightcyan",0.551284275886749,0.00523437316577389,24,0.119896779545195
"orange",0.504132216503353,0.0120077948621892,24,0.140090940058874
"yellow",-0.446855177587825,0.0285866872477824,24,0.166755675612064
"tan",0.452215211953958,0.0265117016255311,24,0.166755675612064
"brown",0.472271392618315,0.0197936937146029,24,0.166755675612064
"pink",-0.400233076156275,0.0526292114737947,24,0.194842525771437
"greenyellow",-0.400356199574558,0.052549754468868,24,0.194842525771437
"black",-0.395627099093078,0.0556692930775536,24,0.194842525771437
"darkorange",0.405201483671766,0.0494961955150447,24,0.194842525771437
"darkgrey",0.369284825615068,0.0757452297390351,24,0.241007549169657
"sienna3",-0.355972876496613,0.0877758151427134,24,0.256012794166247
"turquoise",0.344561205700131,0.0991834155939588,24,0.267032272752966
"darkmagenta",0.337371467506785,0.106914042405692,24,0.267285106014229
"grey60",0.314962193576246,0.13385316397464,24,0.31232404927416
"darkolivegreen",0.266393780415039,0.208291954303049,24,0.455638650037919
"magenta",0.209309102829778,0.326301302357291,24,0.632931363292945
"violet",-0.196989431891899,0.35620803788375,24,0.632931363292945
"steelblue",0.187709875582593,0.379758817975767,24,0.632931363292945
"white",0.192210890605326,0.368226581523804,24,0.632931363292945
"paleturquoise",0.214937420761655,0.313159789274149,24,0.632931363292945
"lightgreen",-0.162205279838788,0.448896722903965,24,0.714153877347217
"saddlebrown",0.13150626979208,0.540191230791107,24,0.787778878237031
"skyblue",0.134894836267088,0.529708242014909,24,0.787778878237031
"cyan",-0.121845640322054,0.570596128254788,24,0.798834579556703
"lightyellow",0.106437601116548,0.620593353114395,24,0.835414129192455
"darkgreen",0.0912752851312216,0.671440172410943,24,0.870385408680852
"darkturquoise",0.0798579117530965,0.710689159655364,24,0.887785888081022
"salmon",0.0584059903718581,0.786324643728905,24,0.887785888081022
"darkred",-0.064474658913082,0.764703751038122,24,0.887785888081022
"royalblue",-0.0663403196073629,0.758090274065141,24,0.887785888081022
"red",0.0471591988446581,0.826790304936045,24,0.9043018960238
"purple",-0.0324340378923313,0.880409211299492,24,0.933767345317643
"blue",0.022973381152804,0.915144649246685,24,0.942060668342176
"green",0.00885302542073825,0.967251139590916,24,0.967251139590916
