"module","shape","p_value","r_squared","category","net_change","total_range","n_mice","fdr"
"midnightblue","linear",0.00685124454543972,0.288057183293416,"Decreasing",-0.303157336126129,0.303157336126129,24,0.159429827401768
"orange","quadratic",0.0091102758515296,0.464561223939432,"U-shaped",0.422249629383219,0.501769876906574,24,0.159429827401768
"tan","quadratic",0.0166960491358291,0.398277318376802,"Inverted U-shaped",0.123484079047241,0.386240416921813,24,0.173194820002775
"brown","linear",0.0197936937146028,0.223040268285643,"Increasing",0.266759789944944,0.266759789944944,24,0.173194820002775
"pink","linear",0.0526292114737946,0.160186515249515,"Decreasing",-0.226069359680132,0.226069359680132,24,0.194842525771437
"yellow","linear",0.0285866872477824,0.199679549737047,"Decreasing",-0.252403586523135,0.252403586523135,24,0.194842525771437
"greenyellow","linear",0.0525497544688679,0.160285086537783,"Decreasing",-0.226138905237435,0.226138905237435,24,0.194842525771437
"black","linear",0.0556692930775533,0.156520801536805,"Decreasing",-0.223467699928823,0.223467699928823,24,0.194842525771437
"lightcyan","quadratic",0.0454057228310588,0.427326943775899,"Increasing",0.416689314696186,0.454252626737126,24,0.194842525771437
"darkorange","linear",0.0494961955150445,0.164188242369801,"Increasing",0.228875736195646,0.228875736195646,24,0.194842525771437
"darkgrey","linear",0.0757452297390351,0.136371282429551,"Increasing",0.208588417699366,0.208588417699366,24,0.241007549169657
"sienna3","linear",0.0877758151427128,0.126716688801273,"Decreasing",-0.201069239518979,0.201069239518979,24,0.256012794166246
"turquoise","linear",0.0991834155939585,0.118722424473528,"Increasing",0.19462342265992,0.19462342265992,24,0.267032272752965
"darkmagenta","linear",0.106914042405692,0.113819507087682,"Increasing",0.190562340239529,0.190562340239529,24,0.26728510601423
"grey60","linear",0.13385316397464,0.099201183382361,"Increasing",0.177904590267871,0.177904590267871,24,0.31232404927416
"darkolivegreen","linear",0.208291954303044,0.0709656462438162,"Increasing",0.150471000396985,0.150471000396985,24,0.455638650037909
"magenta","linear",0.326301302357291,0.0438103005274068,"Increasing",0.118227047365458,0.118227047365458,24,0.632931363292944
"violet","linear",0.356208037883749,0.038804836277093,"Decreasing",-0.111268351829487,0.111268351829487,24,0.632931363292944
"steelblue","linear",0.379758817975766,0.0352349973912324,"Increasing",0.106026847621221,0.106026847621221,24,0.632931363292944
"white","linear",0.368226581523804,0.0369450264672925,"Increasing",0.10856922016542,0.10856922016542,24,0.632931363292944
"paleturquoise","linear",0.313159789274148,0.046198094843673,"Increasing",0.121406170498297,0.121406170498297,24,0.632931363292944
"lightgreen","linear",0.448896722903966,0.0263105528075796,"Decreasing",-0.0916207228599301,0.0916207228599301,24,0.714153877347219
"saddlebrown","linear",0.540191230791109,0.0172938989946273,"Increasing",0.0742805629443028,0.0742805629443028,24,0.787778878237034
"skyblue","linear",0.529708242014908,0.0181966168515246,"Increasing",0.0761945753007919,0.0761945753007919,24,0.787778878237034
"cyan","linear",0.570596128254787,0.0148463600654914,"Decreasing",-0.0688238117448016,0.0688238117448016,24,0.798834579556702
"lightyellow","linear",0.620593353114396,0.0113289629314454,"Increasing",0.0601206690896081,0.0601206690896081,24,0.835414129192456
"darkgreen","linear",0.67144017241094,0.00833117767578578,"Increasing",0.051556321787307,0.051556321787307,24,0.870385408680848
"darkturquoise","linear",0.710689159655367,0.00637728606956534,"Increasing",0.0451072838576835,0.0451072838576835,24,0.887785888081017
"salmon","linear",0.7863246437289,0.00341125971131759,"Increasing",0.0329902889877456,0.0329902889877456,24,0.887785888081017
"darkred","linear",0.764703751038117,0.00415698164195825,"Decreasing",-0.0364181416390085,0.0364181416390085,24,0.887785888081017
"royalblue","linear",0.75809027406514,0.00440103800560706,"Decreasing",-0.0374719493916986,0.0374719493916986,24,0.887785888081017
"red","linear",0.826790304936042,0.00222399003567003,"Increasing",0.0266376032391613,0.0266376032391613,24,0.904301896023796
"purple","linear",0.880409211299491,0.00105196681400118,"Decreasing",-0.0183201804522959,0.0183201804522959,24,0.933767345317642
"blue","linear",0.915144649246699,0.000527776241592022,"Increasing",0.0129763827037479,0.0129763827037479,24,0.94206066834219
"green","linear",0.967251139590897,7.83760591002367e-05,"Increasing",0.00500058067993553,0.00500058067993553,24,0.967251139590897
